day,time,age,gender,order_time,price,tip,total_price,payment_method
5/2/2025,7:02:26,Middle,Female,Long,$47.50,$0.00,$47.50,Tapped
5/2/2025,7:04:01,Old,Male,Long,$20.75,$0.00,$20.75,Tapped
5/2/2025,7:04:46,Middle,Male,Long,$26.00,$5.20,$31.20,Tapped
5/2/2025,7:05:43,Middle,Female,Short,$23.50,$3.52,$27.02,Tapped
5/2/2025,7:06:57,Old,Male,Short,$8.00,$0.00,$8.00,Cash
5/2/2025,7:07:59,Middle,Female,Short,$23.00,$0.00,$23.00,Dipped
5/2/2025,7:08:36,Old,Male,Short,$10.00,$1.00,$11.00,Tapped
5/2/2025,7:08:58,Middle,Male,Short,$11.00,$2.75,$13.75,Tapped
5/2/2025,7:10:19,Middle,Male,Long,$16.31,$0.00,$16.31,Tapped
5/2/2025,7:11:11,Middle,Male,Long,$8.50,$0.00,$8.50,Tapped
5/2/2025,7:11:31,Middle,Female,Long,$1.50,$0.00,$1.50,Tapped
5/2/2025,7:14:20,Middle,Female,Long,$19.50,$2.00,$21.50,Dipped
5/2/2025,7:14:46,Middle,Male,Short,$15.00,$0.00,$15.00,Cash
5/2/2025,7:16:30,Old,Female,Long,$9.50,$2.00,$11.50,Tapped
5/2/2025,7:17:16,Middle,Female,Long,$4.00,$0.00,$4.00,Cash
5/2/2025,7:18:51,Middle,Female,Long,$15.75,$0.00,$15.75,Tapped
5/2/2025,7:19:21,Old,Female,Short,$10.00,$1.50,$11.50,Tapped
5/2/2025,7:19:42,Old,Male,Short,$6.00,$0.00,$6.00,Cash
5/2/2025,7:20:23,Middle,Male,Long,$9.00,$1.00,$10.00,Tapped
5/2/2025,7:20:57,Middle,Male,Long,$5.50,$0.00,$5.50,Tapped
5/2/2025,7:21:33,Old,Female,Long,$4.00,$0.00,$4.00,Cash
5/2/2025,7:26:19,Old,Female,Long,$4.00,$0.00,$4.00,Cash
5/2/2025,7:27:50,Old,Female,Long,$7.25,$0.00,$7.25,Cash
5/2/2025,7:28:43,Middle,Male,Long,$9.00,$0.00,$9.00,Cash
5/2/2025,7:29:57,Middle,Female,Short,$6.75,$1.00,$7.75,Tapped
5/2/2025,7:32:15,Middle,Male,Long,$5.64,$0.00,$5.64,Tapped
5/2/2025,7:32:48,Old,Male,Short,$8.50,$0.00,$8.50,Cash
5/2/2025,7:34:10,Old,Female,Short,$2.50,$0.00,$2.50,Cash
5/2/2025,7:35:02,Middle,Female,Long,$17.50,$3.50,$21.00,Tapped
5/2/2025,7:36:40,Middle,Male,Long,$12.14,$1.84,$13.98,Tapped
5/2/2025,7:37:08,Middle,Female,Long,$9.00,$2.00,$11.00,Tapped
5/2/2025,7:37:38,Middle,Female,Short,$12.50,$1.88,$14.38,Tapped
5/2/2025,7:39:07,Middle,Female,Long,$7.75,$2.00,$9.75,Tapped
5/2/2025,7:39:44,Middle,Male,Long,$14.75,$0.00,$14.75,Cash
5/2/2025,7:40:21,Old,Male,Short,$9.09,$0.00,$9.09,Cash
5/2/2025,7:41:04,Middle,Female,Short,$7.50,$0.50,$8.00,Tapped
5/2/2025,7:41:22,Old,Female,Long,$4.00,$0.00,$4.00,Cash
5/2/2025,7:42:26,Young,Male,Long,$5.25,$2.00,$7.25,Swiped
5/2/2025,7:43:14,Middle,Male,Short,$22.50,$5.62,$28.12,Tapped
5/2/2025,7:44:32,Middle,Female,Short,$18.50,$0.00,$18.50,Tapped
5/2/2025,7:45:16,Old,Male,Short,$4.00,$0.00,$4.00,Cash
5/2/2025,7:47:00,Middle,Male,Long,$29.00,$0.00,$29.00,Tapped
5/2/2025,7:47:23,Old,Male,Short,$11.75,$0.00,$11.75,Cash
5/2/2025,7:48:48,Middle,Female,Long,$10.50,$0.00,$10.50,Tapped
5/2/2025,7:49:06,Middle,Male,Long,$5.00,$0.00,$5.00,Cash
5/2/2025,7:49:37,Middle,Female,Short,$5.00,$0.00,$5.00,Cash
5/2/2025,7:50:30,Middle,Male,Long,$43.75,$6.56,$50.31,Tapped
5/2/2025,7:51:04,Middle,Female,Short,$8.50,$0.00,$8.50,Cash
5/2/2025,7:51:43,Middle,Female,Short,$21.00,$3.15,$24.15,Dipped
5/2/2025,7:51:58,Middle,Female,Short,$3.00,$0.00,$3.00,Cash
5/2/2025,7:54:08,Middle,Male,Short,$7.50,$0.00,$7.50,Tapped
5/2/2025,7:56:48,Old,Female,Long,$15.25,$0.00,$15.25,Cash
5/2/2025,7:57:38,Middle,Female,Long,$23.50,$3.52,$27.02,Tapped
5/2/2025,7:58:19,Middle,Female,Short,$26.75,$4.01,$30.76,Tapped
5/2/2025,7:59:00,Middle,Female,Short,$13.00,$1.95,$14.95,Tapped
5/2/2025,7:59:19,Old,Male,Short,$9.00,$0.00,$9.00,Cash
5/2/2025,7:59:56,Middle,Male,Short,$6.75,$2.00,$8.75,Tapped
5/2/2025,8:00:28,Middle,Male,Short,$12.00,$1.80,$13.80,Dipped
5/2/2025,8:00:51,Middle,Male,Short,$8.50,$2.00,$10.50,Dipped
5/2/2025,8:01:23,Young,Female,Short,$1.50,$0.00,$1.50,Cash
5/2/2025,8:02:35,Middle,Female,Long,$12.75,$1.91,$14.66,Tapped
5/2/2025,8:05:02,Old,Female,Long,$4.50,$0.00,$4.50,Tapped
5/2/2025,8:05:46,Middle,Male,Long,$4.00,$1.00,$5.00,Tapped
5/2/2025,8:06:44,Middle,Male,Short,$14.00,$0.00,$14.00,Cash
5/2/2025,8:06:58,Old,Female,Short,$6.00,$0.00,$6.00,Cash
5/2/2025,8:07:39,Old,Female,Short,$7.64,$0.00,$7.64,Cash
5/2/2025,8:08:28,Middle,Female,Short,$9.50,$0.00,$9.50,Tapped
5/2/2025,8:09:19,Old,Female,Long,$6.00,$0.00,$6.00,Tapped
5/2/2025,8:09:49,Young,Female,Short,$5.50,$0.00,$5.50,Tapped
5/2/2025,8:10:12,Young,Female,Short,$5.75,$0.00,$5.75,Tapped
5/2/2025,8:10:32,Young,Female,Long,$2.75,$0.00,$2.75,Tapped
5/2/2025,8:11:35,Middle,Female,Long,$22.75,$2.00,$24.75,Tapped
5/2/2025,8:11:50,Old,Male,Short,$4.00,$0.00,$4.00,Cash
5/2/2025,8:12:58,Old,Female,Short,$4.89,$0.00,$4.89,Cash
